CNN,streetname,from_st,to_st,cardinal,addrange,limits,location,theOrder
20006000,HUNTERS POINT EXPY,JAMESTOWN AVE,,,,JAMESTOWN AVE intersection,,17212
20006000,JAMESTOWN AVE,HUNTERS POINT EXPY,,,,HUNTERS POINT EXPY intersection,,18505
20010000,JAMESTOWN AVE,GILROY ST,,,,GILROY ST intersection,,18513
20010000,GILROY ST,JAMESTOWN AVE,,,,JAMESTOWN AVE intersection,,14973
20011000,INGERSON AVE,GIANTS DR,,,,GIANTS DR intersection,,18075
20011000,GIANTS DR,INGERSON AVE,,,,INGERSON AVE intersection,,14909
20013000,GILROY ST,IGNACIO AVE,,,,IGNACIO AVE intersection,,14969
20013000,IGNACIO AVE,GILROY ST,,,,GILROY ST intersection,,17868
20034000,DONAHUE ST,CLEO RAND AVE,,,,CLEO RAND AVE intersection,,11624
20034000,CLEO RAND AVE,DONAHUE ST,,,,DONAHUE ST intersection,,9863
20039000,EARL ST,JERROLD AVE,,,,JERROLD AVE intersection,,11949
20039000,JERROLD AVE,EARL ST,,,,EARL ST intersection,,18677
20041000,EARL ST,INNES AVE,,,,INNES AVE intersection,,11972
20041000,INNES AVE,EARL ST,,,,EARL ST intersection,,18098
20044000,DORMITORY RD,JERROLD AVE \ NORTHRIDGE RD,,,,JERROLD AVE \ NORTHRIDGE RD intersection,,11725
20044000,NORTHRIDGE RD,DORMITORY RD \ JERROLD AVE,,,,DORMITORY RD \ JERROLD AVE intersection,,24705
20044000,JERROLD AVE,DORMITORY RD \ NORTHRIDGE RD,,,,DORMITORY RD \ NORTHRIDGE RD intersection,,18703
20046000,KIRKWOOD AVE,DORMITORY RD \ KISKA RD,,,,DORMITORY RD \ KISKA RD intersection,,19719
20046000,DORMITORY RD,KIRKWOOD AVE \ KISKA RD,,,,KIRKWOOD AVE \ KISKA RD intersection,,11727
20046000,KISKA RD,DORMITORY RD \ KIRKWOOD AVE,,,,DORMITORY RD \ KIRKWOOD AVE intersection,,19740
20051000,FITZGERALD AVE,DONAHUE ST,,,,DONAHUE ST intersection,,13332
20051000,DONAHUE ST,FITZGERALD AVE,,,,FITZGERALD AVE intersection,,11612
20056000,ARELIOUS WALKER DR,INNES AVE,,,,INNES AVE intersection,,5265
20056000,INNES AVE,ARELIOUS WALKER DR,,,,ARELIOUS WALKER DR intersection,,18100
20057000,ARELIOUS WALKER DR,HUDSON AVE,,,,HUDSON AVE intersection,,5263
20057000,HUDSON AVE,ARELIOUS WALKER DR,,,,ARELIOUS WALKER DR intersection,,17130
20058000,REARDON RD,KISKA RD,,,,KISKA RD intersection,,27777
20058000,KISKA RD,REARDON RD,,,,REARDON RD intersection,,19742
20060000,NORTHRIDGE RD,HARBOR RD,,,,HARBOR RD intersection,,24707
20060000,HARBOR RD,NORTHRIDGE RD,,,,NORTHRIDGE RD intersection,,16185
20061000,HARBOR RD,INGALLS ST,,,,INGALLS ST intersection,,16187
20061000,INGALLS ST,HARBOR RD,,,,HARBOR RD intersection,,18017
20064000,OAKDALE AVE,BALDWIN CT,,,,BALDWIN CT intersection,,24809
20064000,BALDWIN CT,OAKDALE AVE,,,,OAKDALE AVE intersection,,6041
20065000,GRIFFITH ST,OAKDALE AVE,,,,OAKDALE AVE intersection,,15808
20065000,OAKDALE AVE,GRIFFITH ST,,,,GRIFFITH ST intersection,,24807
20066000,NAVY RD,GRIFFITH ST,,,,GRIFFITH ST intersection,,24231
20066000,GRIFFITH ST,NAVY RD,,,,NAVY RD intersection,,15806
20067000,GRIFFITH ST,REVERE AVE,,,,REVERE AVE intersection,,15816
20067000,REVERE AVE,GRIFFITH ST,,,,GRIFFITH ST intersection,,27856
20070000,THOMAS AVE,GRIFFITH ST,,,,GRIFFITH ST intersection,,31820
20070000,GRIFFITH ST,THOMAS AVE,,,,THOMAS AVE intersection,,15820
20072000,PALOU AVE,CRISP RD,,,,CRISP RD intersection,,25949
20072000,CRISP RD,PALOU AVE,,,,PALOU AVE intersection,,10649
20073000,GRIFFITH ST,PALOU AVE,,,,PALOU AVE intersection,,15812
